Category,Stakeholder,Product,Question,Answer
Accounts,P&S,Type of accounts,Warba Bank offers a range of accounts to meet the financial needs of its customers. The following are the types of accounts available at Warba Bank:,"Sunbula Account
Sunbula Kids Account
Current Account
Salary Account
Gold Account
Investment Saving Account
Super Saving Account"
General Information,,Cards security standards,Cards security standards,"In addition, Warba Bank has updated its Credit, Debit, and Prepaid Cards with a new chip that has the latest security standards to provide its customers with the highest level of protection."
Accounts,Digital Factory,Gold Account,Gold Account:,The Gold Account at Warba Bank allows customers to buy and sell the finest gold provided by Swiss and Emirati manufacturers (24 karats with a purity of 999.9). The account can be easily accessed through the Warba Bank application in partnership with Dar Alsabaek Group.
Accounts,P&S,Sunbula Account,AlSunbula Account:,"The AlSunbula account is an investment savings account based on the Wakala investment principle, with returns distributed quarterly, along with chances to win in the AlSunbula draws on cash prizes held throughout the year. To be eligible for the draws, AlSunbula account holders are required to have a minimum balance of KD100, which can only be withdrawn upon account closure."
Accounts,P&S,Sunbula Account,AlSunbula Account Benefits:,"1- The funds of the account are invested based on Wakala investment principle.
2- Quarterly distributed returns.
3- Instant issuance of ATM card.
4- Up to KD 2,000 cash withdrawal from ATMs.
5- Local & international SMS service.
6- Issuance of credit cards.
7- Access to Warba Bank's advanced Mobile Application.
8- App Store or Google Play.
9- The account can be opened instantly via mobile for existing customers.
10- For Non-Warba customers: you can initiate account opening process via the Warba’s innovative Customer Onboarding.
11- The account and process has been approved by the Sharia committee as the prizes are not deducted from the customer’s account."
Draws,P&S,Sunbula Draw,Winning Chances for AlSunbula account criteria and calculation:,"1- The calculation of the wining chances for AlSunbula account is ""Each customer gets one chance for every KD 10 deposited into the account"".
2- Chances are calculated based on the lowest account balance during the month.
3- There is no cap for draw chances, the higher the amount deposited the more chances.
4- Draw chances are calculated on the available account balance.
5- Blocked amounts in Al Sunbula accounts are calculated for the draw chances."
Accounts,P&S,Sunbula Account,Conditions of AlSunbula account:,"1- Al Sunbula Savings account is exclusive for individuals
2- Account currency is Kuwaiti Dinars only
3- Minimum balance of KD 100 is required for the account and to enter the draws, and this amount can only be withdrawn upon account closure
4- Every KD 10 in the account that have completed 1 full calendar month will earn the customer 1 chance in the weekly draws
5- Mega Draw chances will reflect the minimum balance of the last 2 months prior to the draw
6- Winner of the Mega draw will be excluded from the other Mega draws within the same campaign
7- The weekly draw winners are not entitled to enter any of the weekly draws until the end of three months
8- In order for the customer to enter Al-Sunbula draws, the customer should not close the account until the day of the draw.
you can also view the terms and conditions of AlSunbula account from this link: https://warbabank.blob.core.windows.net/files/Library/Assets/Gallery/TermsandConditionsFiles/Sunbula/English/Al%20Sunbula%20Account%20Terms%20(002)%20NEW.pdf"
Accounts,P&S,Sunbula Account,Required Documents for AlSunbula account:,Civil ID.
Draws,P&S,Mega Draw,Mega Draw:,"The Mega Draw is a quarterly draw held by Warba Bank for AlSunbula account holders. The draw consists of four winners with a prize of KD250,000 for each winner. The draw is held on the Thursday of the second week after each quarter. AlSunbula account holders are required to have a minimum balance of KD100 to be eligible for the draw, and this amount can only be withdrawn upon account closure."
Draws,P&S,Sunbula Draw,Alsunbula Draws:,"AlSunbula draws consist of weekly draws of 10 winners with a KD1000 prize for each winner held every Thursday of the week and four mega draws with a value of KD250,000 per winner held on Thursday of the second week after each quarter."
Accounts,P&S,Sunbula Kids Account,AlSunbula Kids Account,"The AlSunbula Kids account is a savings account designed specifically for kids, based on the Wakala investment principle, with competitive returns. Customers 15 years or younger can open an account with a minimum amount of KD10. "
Draws,P&S,Sunbula Kids Draw,AlSunbula Kids draws:,"The AlSunbula Kids draw has seven winners every month with prizes ranging from KD100 to KD1000, and one winner in the mega draw worth KD250,000."
Financing,P&S,Housing Finance,Housing Finance Deal:,"Warba Bank offers Housing Finance deals for building a future house or renovations, with financing up to KD70,000. The benefits of this deal include free debt insurance, no down payment required, and preferential rates for Al-Safwa customers, along with a six-month grace period. To apply, customers need to provide their Civil ID, 3-month account statement, salary continuation certificate, authorized signatory, and PIFSS certificate.
For eligibility criteria, refer to the main website https://www.warbabank.com/english/personal/what-we-offer/financing/construction-finance "
Financing,P&S,Auto Financing,Car Auto Finance Deal:,"Warba Bank's Auto Finance deals are competitive, and finance up to KD25,000 is available. Salary transfer is not required, and flexible monthly installments start from KD30. Al-Safwa customers receive a special rate, and all customers get a six-month grace period. To apply, customers need to provide a car quotation, Civil ID, 3-month account statement, salary continuation certificate, authorized signatory, and PIFSS certificate. For eligibility criteria, refer to the main website https://www.warbabank.com/english/personal/what-we-offer/financing/auto-finance "
Segments,P&S,Customers Segments,Customer Segments:,"Warba Bank has different customer segments to meet the diverse financial needs of its customers. The following are the customer segments at Warba Bank:
1- AlMassy segment
2- AlSafwa Plus segment
3- AlSafwa segment
4- W segment
5- Normal segment
6- Bloom segment
7- Sunbula Kids segment"
General Information,,About Warba Bank,N/A,"Warba Bank is a leading bank in the Islamic Digital Retail Solutions sector. With a variety of products and services, Warba Bank is committed to providing its customers with the best banking experience. One of the services Warba Bank provides is its cashback program. In this document, we will explain the details of the cashback program offered by Warba Bank."
Campaings,P&S,Cashback,How is Cashback calculated?,"Cashback calculation depends on 3 main factors: 1- Total amount of transactions (internationally + locally) 2- Credit card type (Mastercard World and World Elite credit card/ Prepaid) 3- The segment type. Segments of Al Safwa, Al Safwa Plus, W and AlMassy customers using Mastercard World and World Elite credit card get a cashback rate of 3% on local and international transactions if the total spent transactions are less than KD 3000. If the local spending + international spends are more than KD 3000, the cashback will be 3% for local and 6% for international transactions. Segment of normal has the lowest cashback rate of 1% irrespective of the amount of the transactions. The maximum amount for ALMASSY, ALSAFWA PLUS and ALSAFWA is equivalent and set at KD 500., while the maximum amount for W is KD 300. The maximum amount for Normal is KD 150. Prepaid card cashback is only 1% of the total transaction regardless of the segment of the customer and the maximum cashback is capped at KD 150 only for all segments.
 "
Campaings,P&S,Cashback,Details and definition of Cashback Program and percentages for customer segments in Warba Bank:,"Warba Bank offers a cashback program for Mastercard World and World Elite credit card users. Segments of Al Safwa, Al Safwa Plus, W and AlMassy customers get a cashback rate of 3% on local and international transactions if the total spent transactions are less than KD 3000. If the local spending + international spends are more than KD 3000, the cashback will be 3% for local and 6% for international transactions. 
Segment of normal has the lowest cashback rate of 1% irrespective of the amount of the transactions.
Prepaid cards are eligble for only 1% as cashback regardless of the segment of the customer and the maximum cashback is capped at KD 150 only for all segments. if customer uses prepaid card, cashback calculation cannot be higher than KD 150. 
Check our cashback program on our website https://www.warbabank.com/english/personal/what-we-offer/offers-and-promotions/cashback"
Campaings,P&S,Cashback calculation for prepaid card,Calculation of Cashback for All customers on Prepaid cards only:,"if the used card was Prepaid, the total cashback will be 1% of the total transaction regardless of the segment of the customer and the maximum cashback is capped at KD 150 only for all segments. if customer uses prepaid card, cashback calculation cannot be higher than KD 150.
my segment is almassy and my spends are 2000 internationally abroad and 1000 locally in kuwait calculate my cashback? The cashback calculation for prepaid cards is 1% irrespective of the total amount of the transactions, so the cashback for your prepaid card would be the sum of the international and local spends --> (2000 + 1000) = (3000 * 1%) which is KD 30.
I am alsafwa and I spent kd 20000 for my prepaid card, calculate my cashback? The cashback calculation for prepaid cards is 1% irrespective of the amount of the transactions, so the cashback for your prepaid card would be KD 200 (20000 * 1%). However, the maximum cashback is capped at KD 150, and the total cashback calculation is KD 200 which is greater than the maximum cashback for Prepaid card of KD 150, So your total cashback would be KD 150 only.
I am w and I spent kd 12000 for my prepaid card, calculate my cashback? The cashback calculation for prepaid cards is 1% irrespective of the amount of the transactions, so the cashback for your prepaid card would be KD 120 (12000 * 1%)."
Campaings,P&S,Cashback,Local and international transaction:,"total spent transactions mean the amount of money spent on local and international transactions.
local transactions are any transactions made inside Kuwait only, and the cashback percentage will always be 3%, while international transactions are any transactions made outside Kuwait (abroad), and the cashback percentage will be 3% if the total amount of transactions are less than KD 3000, but if the total amount of transactions are higher than KD 3000, the cashback percentage for international transactions only is 6%.
For example countries outside Kuwait are considered as an international transaction."
Campaings,P&S,Cashback calculation for credit card,Calculation of Cashback for Mastercard World and World Elite credit card only:,"The cashback calculation depends on 3 main factors: customer segment, the total amount of the transactions and the card type. For Al Safwa / Al Safwa Plus / Al Massy and W customers, on Mastercard World and World Elite credit, if the total spent transactions are less than KD 3000, the cashback rate is 3%. If the total spent transactions are higher than KD 3000, the cashback rate is 6% for international transactions only. For Normal segment customers, the cashback rate is 1% irrespective of the amount of the total spent transactions."
Campaings,P&S,Cashback calculation for credit card examples for W segment,"
Calculation of cashback for W customers on Mastercard World and World Elite credit card only has 3 cases: ","1-	for W customers on Mastercard World and World Elite credit card only,If the total spent transactions are less than KD 3000 with international spends and local spends.
For example, W customer spend transactions are 500 international and 1000 local, the total cashback will be as follow:
Since the total transactions of (international + local) (500 + 1000) = 1500 less than or equal to 3000, then the customer will be awarded 3% of the (international transaction + local transaction), therefore the calculation will be: 3% on the total transactions (1500 *3 % = 45) --> giving you a total cashback of KD 45.

1-a)	for W customers on Mastercard World and World Elite credit card only, If the total spent transactions are less than KD 3000 with international spends only.
For example, W customer spend transactions are 500 international and 0 local, the total cashback will be as follow:
Since the total transactions of (international + local) (500 + 0) = 500 less than or equal to 3000, then the customer will be awarded 3% of the (international transaction + local transaction), therefore the calculation will be: 3% on the total transactions (500 * 3% = 15) --> giving you a total cashback of KD 15.

1-b)	for W customers on Mastercard World and World Elite credit card only, If the total spent transactions are less than KD 3000 with local spends only.
For example, W customer spend transactions are 0 international and 1000 local, the total cashback will be as follow:
Since the total transactions of (international + local) (0 + 1000) = 1000 less than or equal to 3000, then the customer will be awarded 3% of the (international transaction + local transaction), therefore the calculation will be: 3% on the total transactions (1000 * 3% = 30) --> giving you a total cashback of KD 30.

2-	for W customers on Mastercard World and World Elite credit card only, If the total spent transactions are greater than or equal to KD 3000 and the total cashback calculation is below KD 300.
For example, W customer spend transactions are 3000 international and 1000 local, the total cashback will be as follow:
Since the total transactions of (local + international) (1000 + 3000) = 4000 greater than or equal to 3000, then the customer will be awarded 6% of the international transaction only and 3% of the local transaction, therefore the calculation will be: 6% on the international transactions (3000*6% = 180) and 3% on the local transactions (1000*3% =30) --> giving you a total cashback of KD 210.

2-a)	for W customers on Mastercard World and World Elite credit card only, If the total spent transactions are greater than or equal to KD 3000 and the total cashback calculation is below KD 300 with international spends only.
For example, W customer spend transactions are 3000 international and 0 local, the total cashback will be as follow:
Since the total transactions of (international + local) (3000 + 0) = 3000 greater than or equal to 3000, then the customer will be awarded 6% of the international transaction only and 3% of the local transaction, therefore the calculation will be: 6% on the international transactions (3000 * 6% = 180) and 3% on the local transactions (0 * 3% = 0) --> giving you a total cashback of KD 180.

2-b)	for W customers on Mastercard World and World Elite credit card only, If the total spent transactions are greater than or equal to KD 3000 and the total cashback calculation is below KD 300 with local spends only.
For example, W customer spend transactions are 0 international and 3000 local, the total cashback will be as follow:
Since the total transactions of (international + local) (0 + 3000) = 3000 greater than or equal to 3000, then the customer will be awarded 6% of the international transaction only and 3% of the local transaction, therefore the calculation will be: 6% on the international transactions (0 * 6% = 0) and 3% on the local transactions (3000 * 3% = 90) --> giving you a total cashback of KD 90.

3-	for W customers on Mastercard World and World Elite credit card only, If the total spent transactions are greater than or equal to KD 3000 and the total cashback calculation is above KD 300.
For example, W customer spend transactions are 25000 international and 1000 local, the total cashback will be as follow:
Since the total transactions of (international + local) (25000 + 1000) = 26000 greater than or equal to 3000, then the customer will be awarded be awarded 6% of the international transaction only and 3% of the local transaction, therefore the calculation will be: 6% on the international transactions (25000 * 6% = 1500) and 3% on the local transactions (1000 * 3% =30) --> giving you a total cashback of KD 1530, but since the total cashback calculation KD 1530 exceeds the maximum amount of cashback W segment, which is KD 300, Warba Bank will only return KD 300, and this will be the total cashback.

3-a)	for W customers on Mastercard World and World Elite credit card only, If the total spent transactions are greater than or equal to KD 3000 and the total cashback calculation is above KD 300 with international spends only.
For example, W customer spend transactions are 25000 international and 0 local, the total cashback will be as follow:
Since the total transactions of (international + local) (25000 + 0) = 25000 greater than or equal to 3000, then the customer will be awarded be awarded 6% of the international transaction only and 3% of the local transaction, therefore the calculation will be: 6% on the international transactions (25000 *6 % = 1500) and 3% on the local transactions (0 * 3% = 0) --> giving you a total cashback of KD 1500, but since the total cashback calculation KD 1500 exceeds the maximum amount of cashback W segment, which is KD 300, Warba Bank will only return KD 300, and this will be the total cashback.

3-b)	If the total spent transactions are greater than or equal to KD 3000 and the total cashback calculation is above KD 300 with local spends only.
For example, W customer spend transactions are 0 international and 25000 local, the total cashback will be as follow:
Since the total transactions of (international + local) (0 + 25000) = 25000 greater than or equal to 3000, then the customer will be awarded be awarded 6% of the international transaction only and 3% of the local transaction, therefore the calculation will be: 6% on the international transactions (0 * 6% = 0) and 3% on the local transactions (25000 * 3% = 750) --> giving you a total cashback of KD 750, but since the total cashback calculation KD 750 exceeds the maximum amount of cashback W segment, which is KD 300, Warba Bank will only return KD 300, and this will be the total cashback.

If the total cashback calculation for a W customer was above KD 300, Warba Bank will only return KD 300 as this is the maximum cashback for W segment."
Campaings,P&S,Cashback calculation for credit card examples for  Al Safwa / Al Safwa Plus and Al Massy segments,Calculation of cashback For Al Safwa / Al Safwa Plus and Al Massy customers on Mastercard World and World Elite credit card only has 3 cases: ,"1-	If the total spent transactions are less than KD 3000.
For example, For Al Safwa / Al Safwa Plus and Al Massy, customer spend transactions are 500 international and 1000 local, the total cashback will be as follow:
Since the total transactions of (local + international) (1000 + 500) = 1500 less than or equal to 3000, then the customer will be awarded 3% of the (international transaction + local transaction), therefore the calculation will be: 3% on the total transactions (1500 * 3% = 45) --> giving you a total cashback of KD 45.

1-a)	If the total spent transactions are less than KD 3000.
For example, For Al Safwa / Al Safwa Plus and Al Massy, customer spend transactions are 500 international and 0 local, the total cashback will be as follow:
Since the total transactions of (local + international) (0 + 500) = 500 less than or equal to 3000, then the customer will be awarded 3% of the (international transaction + local transaction), therefore the calculation will be: 3% on the total transactions (500 * 3% = 15) --> giving you a total cashback of KD 15.
1-b)	If the total spent transactions are less than KD 3000.
For example, For Al Safwa / Al Safwa Plus and Al Massy, customer spend transactions are 0 international and 1000 local, the total cashback will be as follow:
Since the total transactions of (local + international) (0 + 1000) = 1000 less than or equal to 3000, then the customer will be awarded 3% of the (international transaction + local transaction), therefore the calculation will be: 3% on the total transactions (1000 * 3% = 30) --> giving you a total cashback of KD 30.

2-	If the total spent transactions are greater than or equal to KD 3000 and the total cashback calculation is below KD 500.
For example, for Al Safwa / Al Safwa Plus and Al Massy, if customer spend transactions are 3000 international and 1000 local, the total cashback will be as follow:
Since the total transactions of (local + international) (1000 + 3000) = 4000 greater than or equal to 3000, then the customer will be awarded 6% of the international transaction only and 3% of the local transaction, therefore the calculation will be: 6% on the international transactions (3000 * 6% = 180) and 3% on the local transactions (1000 * 3% = 30) --> giving you a total cashback of KD 210.

2-a)	If the total spent transactions are greater than or equal to KD 3000 and the total cashback calculation is below KD 500.
For example, for Al Safwa / Al Safwa Plus and Al Massy, if customer spend transactions are 3000 international and 0 local, the total cashback will be as follow:
Since the total transactions of (local + international) (0 + 3000) = 3000 greater than or equal to 3000, then the customer will be awarded 6% of the international transaction only and 3% of the local transaction, therefore the calculation will be: 6% on the international transactions (3000 * 6% = 180) and 3% on the local transactions (0 *3 % = 0) --> giving you a total cashback of KD 180.

2-b)	If the total spent transactions are greater than or equal to KD 3000 and the total cashback calculation is below KD 500.
For example, for Al Safwa / Al Safwa Plus and Al Massy, if customer spend transactions are 0 international and 3000 local, the total cashback will be as follow:
Since the total transactions of (local + international) (0 + 3000) = 3000 greater than or equal to 3000, then the customer will be awarded 6% of the international transaction only and 3% of the local transaction, therefore the calculation will be: 6% on the international transactions (0 * 6% = 0) and 3% on the local transactions (3000 * 3% = 90) --> giving you a total cashback of KD 90.

If the total cashback calculation for the segments Al Safwa, Al Safwa Plus and Al Massy customer was above KD 500, Warba Bank will only return KD 500 as this is the maximum cashback for these segments.


3-	If the total spent transactions are greater than or equal to KD 3000 and the total cashback calculation is above KD 500.
For example, For Al Safwa, Al Safwa Plus and Al Massy customer spend transactions are 25000 international and 1000 local, the total cashback will be as follow:
Since the total transactions of (local + international) (25000 + 1000) = 26000 greater than or equal to 3000, then the customer will be awarded be awarded 6% of the international transaction only and 3% of the local transaction, therefore the calculation will be: 6% on the international transactions (25000*6% = 1500) and 3% on the local transactions (1000*3% =30) --> giving you a total cashback of KD 1530. But since the total cashback calculation KD 1530 exceeds the maximum amount of cashback for Al Safwa, Al Safwa Plus and Al Massy segments which is KD 500, Warba Bank will only return KD 500 and this will be the total cashback.

3-a)	If the total spent transactions are greater than or equal to KD 3000 and the total cashback calculation is above KD 500.
For example, For Al Safwa, Al Safwa Plus and Al Massy customer spend transactions are 25000 international and 0 local, the total cashback will be as follow:
Since the total transactions of (local + international) (25000 + 0) = 25000 greater than or equal to 3000, then the customer will be awarded be awarded 6% of the international transaction only and 3% of the local transaction, therefore the calculation will be: 6% on the international transactions (25000 * 6% = 1500) and 3% on the local transactions (0 * 3% = 0) --> giving you a total cashback of KD 1500. But since the total cashback calculation KD 1500 exceeds the maximum amount of cashback for Al Safwa, Al Safwa Plus and Al Massy segments which is KD 500, Warba Bank will only return KD 500 and this will be the total cashback.

3-b)	If the total spent transactions are greater than or equal to KD 3000 and the total cashback calculation is above KD 500.
For example, For Al Safwa, Al Safwa Plus and Al Massy customer spend transactions are 0 international and 25000 local, the total cashback will be as follow:
Since the total transactions of (local + international) (25000 + 0) = 25000 greater than or equal to 3000, then the customer will be awarded be awarded 6% of the international transaction only and 3% of the local transaction, therefore the calculation will be: 6% on the international transactions (0 * 6% = 0) and 3% on the local transactions (25000 * 3% = 750) --> giving you a total cashback of KD 750. But since the total cashback calculation KD 750 exceeds the maximum amount of cashback for Al Safwa, Al Safwa Plus and Al Massy segments which is KD 500, Warba Bank will only return KD 500 and this will be the total cashback."
Campaings,P&S,Examples of cashback calculation:,Examples of cashback calculation:,"my spends are 2999 internationally and 1 kd locally, calculate my cashback if i am w segment?  The total transactions of (local + international) (1 + 2999) = 3000, which is greater than or equal to KD 3000. Therefore, the customer will be awarded 6% of the international transaction (2999*6% = 179.94) and 3% of the local transaction (1*3% = 0.03) --> giving you a total cashback of KD 179.97.
calculate my cashback if i am alsafwa and my spends are 3000 international and 1000 local? The total transactions of (local + international) (1000 + 3000) = 4000 greater than or equal to 3000, so the customer will be awarded 6% of the international transaction (3000*6% = 180) and 3% of the local transaction (1000*3% =30) --> giving you a total cashback of KD 210."
Campaings,P&S,Cashback,Maximum Cashback:,"The maximum cashback amount varies based on the customer segment. The maximum amount for ALMASSY, ALSAFWA PLUS and ALSAFWA is equivalent and set at KD 500., while the maximum amount for W is KD 300. The maximum amount for Normal is KD 150."
Campaings,P&S,Cashback,Exceeding the Maximum Cashback:,"If any of the customer segments Al Massy, AlSafwa Plus, AlSafwa, W or normal exceed the maximum cashback amount, Warba Bank will only return the maximum amount. For example, if the Al Massy segment exceeds the maximum amount of KD 500, Warba Bank will only return KD 500. The same applies to the W segment with a maximum amount of KD 300, and the Normal segment with a maximum amount of KD 150."
Campaings,P&S,About Cashback,N/A,"Warba Bank's cashback program provides its customers with an opportunity to earn cashback on their credit card transactions. With different customer segments and different cashback rates, Warba Bank's cashback program is tailored to meet the needs of all its customers. If you have any questions regarding the cashback program, please visit the Warba Bank website or contact customer support."
Financing,P&S,Medical Benefits,Medical Benefits:,"Warba Bank places a strong emphasis on health and wellness, and offers medical financing to its customers. With 0% profit, the bank provides financing for medical expenses up to KD 25,000, with flexible monthly installments starting at KD30. No down payment or salary transfers are required, making it easier for customers to access the financing they need for their medical needs."
Digital Services,Digital Factory,Warba app,Warba app Digital Services:,"Warba Bank app is dedicated to providing digital services to its customers, and the warba bank's mobile app is a testament to this commitment. With the Warba app, customers can open a new account in less than 5 minutes, with no need to visit a branch. The app also provides access to the bank's ultimate digital loyalty program, ""Pocket,"" as well as the ability to enter Al Sunbula draws and access a directory of branch services."
Digital Services,Retail,Family Account service,Family Account service:,"Warba Bank's family account service is designed to make it easier for parents to manage their children's accounts. With the family account, parents can link their children's accounts to their own and track their transactions online or through the mobile app. This innovative service is designed to meet the needs of families and ensure that their banking needs are met."
General Information,Digital Factory,IBAN Number,IBAN Number:,"Customers can obtain their IBAN number through the Warba Bank app, website, call center, or by visiting a branch. The IBAN number is an important part of a customer's banking information and is used to facilitate international transactions."
Accounts,Retail,Dormant Accounts,Dormant Accounts:,"In the event that a customer's account has been inactive for one year, the account may be dormant. To reactivate the account, the customer must visit a branch and submit an activation request, along with payment of an account activation commission."
Accounts,Retail,Charitable Societies,Accounts for Charitable Societies and Public Service Associations:,"Warba Bank also offers accounts for charitable societies, public service associations, and student unions. The required documents vary based on the type of organization, but typically include articles of association, a letter from an official body, and original ID cards of authorized individuals. The bank is dedicated to supporting these organizations and ensuring that their banking needs are met."
General Information,Digital Factory,FATCA Compliance,FATCA Compliance:,"Warba Bank is compliant with the US Foreign Account Tax Compliance Act (FATCA), which is designed to prevent tax evasion by US citizens with accounts and investments outside the US. The bank is committed to following international regulations and ensuring compliance with FATCA."
Financing,Retail,Installment,Maximum Monthly Instalment Amount:,"For customers seeking financing, the maximum monthly installment amount is determined by a customer's net salary or income. For those in service, the total monthly installments should not exceed 40% of the net salary, while for retirees, the total monthly installment should not exceed 30% of the net monthly income."
Financing,Retail,Consumer Financing,DOCUMENTS REQUIRED FOR CONSUMER FINANCE:,"For Consumer Finance, the following documents are required:
Original valid Civil ID
Original recent salary certificate
Salary continuation
Price quotation
Account statement for the last 3 Months (6 months for the private sector)
Passport copy for expatriate customers only."
General Information,Branches,Branches timings,Branches timings:,Warba Bank has 17 branches in Kuwait with different timings. Please refer to the website to find out more about the branch timings https://www.warbabank.com/english/locate-us 
Cards,P&S,Credit Cards,Credit Cards in Warba Bank:,"Warba Bank offers the following credit card options:
World Elite Dual Chip Mastercard (AlMassy customers only)
World Elite Mastercard
World Mastercard
Platinum Mastercard
VISA Signature
VISA Platinum
VISA Prepaid"
Cards,Cards Team,World Elite Dual Chip Mastercard,World Elite Dual Chip Mastercard definition:,Warba Bank introduces the first of its kind Dual Chip Card in partnership with Mastercard. This two-in-one unique card brings the functionalities of both debit and credit cards with the highest level of security to distinguish our Al Masi customers and offer more convenience.
Cards,Cards Team,World Elite Mastercard,World Elite Mastercard definition:,"World Elite the finest offering from Mastercard, with an unmatched array of benefits and rewards handpicked for the elites."
Cards,Cards Team,World Mastercard,World Mastercard definition:,"Your World in a Card. Mastercard world is the best cash back world as it provides the best cashback rate and other benefits. If you are a travel enthusiast, World Mastercard is designed for you. Discover a world of exclusive privileges and enjoy memorable experiences on each trip with Warba World Mastercard, you will always be ready for your trip."
Cards,Cards Team,Platinum Mastercard,Platinum Mastercard definition:,"One card for your lifestyle. Enjoy multiple benefits with Platinum Mastercard® designed to suit your lifestyle. It is a Sharia-compliant credit card, without any additional fees, available in both charge and revolving options."
Cards,Cards Team,VISA Signature card,VISA Signature card definition:,"An Exceptional Local and International Experience. Add a touch of luxury to your daily life with VISA Signature, one of Warba Bank credit solutions. Discover new horizons that meets your needs and aspirations and enjoy a unique package of exclusive offers and privileges worldwide. In addition to the special banking experience, this card opens a world of exceptional services and discounts for you in several hotels and stores for a shopping experience that exceeds expectations."
Cards,Cards Team,VISA Platinum card,VISA Platinum card definition:,"Comfort, Luxury and Modern Features. The VISA Platinum card gives you facilities and discounts that guarantee a unique banking experience that suits your modern lifestyle. It is a Sharia-compliant credit card, available in charge or revolving options If you are looking for peace of mind and exceptional services, VISA Platinum is a perfect choice while traveling, shopping and entertainment."
Cards,Cards Team,VISA Prepaid card,VISA Prepaid card definition:,"A Modern and Safe Alternative Solution to Cash Payment. VISA Prepaid card helps you control your expenses. It is the perfect and modern alternative for cash payment, because it is easy to use, and can be used locally and internationally, and for online shopping. You can top up the card by using easy and fast methods."
Cards,Cards Team,World Elite Dual Chip Mastercard benefits,World Elite Dual Chip Mastercard benefits:,"1- World Elite Dual Chip card functions of both Debit and Credit cards, providing exclusivity for Private Banking customers (Al Massy).
2- Highly secured card with two EMV chips, each chip has a different Card number, unique PIN and CVV."
